name,type,full_address,city,country,latitude,longitude,rating,reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,range
Uerige,Brewpub,"Berger Str. 1, 40213 Düsseldorf",Düsseldorf,Germany,51.2249992,6.7722509,4.5,10276.0,297.0,173.0,628.0,2545.0,6633.0,€€
Takumi,Ramen restaurant,"Immermannstraße 28, 40210 Düsseldorf",Düsseldorf,Germany,51.2236177,6.788777,4.6,5347.0,134.0,101.0,293.0,932.0,3887.0,€€
Okinii Düsseldorf City,Sushi restaurant,"Immermannstraße 35, 40210 Düsseldorf",Düsseldorf,Germany,51.22333,6.788246,4.1,4625.0,341.0,249.0,506.0,1209.0,2320.0,€€
Kasematten Düsseldorf,Restaurant,40213 Düsseldorf,Düsseldorf,Germany,51.2258875,6.770811699999999,4.0,4292.0,410.0,188.0,456.0,1240.0,1998.0,€€
What's Beef,Hamburger restaurant,"Immermannstraße 24, 40210 Düsseldorf",Düsseldorf,Germany,51.2237527,6.7885661,4.2,3945.0,77.0,263.0,470.0,974.0,2161.0,€€
Naniwa Noodles & Soups,Authentic Japanese restaurant,"Oststraße 55, 40211 Düsseldorf",Düsseldorf,Germany,51.2249515,6.7881079,4.5,3924.0,124.0,97.0,244.0,808.0,2651.0,
Hotel Nikko Düsseldorf,Hotel,"Immermannstraße 41, 40210 Düsseldorf",Düsseldorf,Germany,51.223159,6.7884926,4.1,3582.0,204.0,166.0,434.0,1162.0,1616.0,
Maritim Hotel,Hotel,"Maritim-Platz 1, 40474 Düsseldorf",Düsseldorf,Germany,51.2759175,6.768415,4.5,3301.0,78.0,51.0,202.0,934.0,2036.0,
Cafe Del Sol Gelsenkirchen II / Erle,Restaurant,"Adenauerallee 128, 45891 Gelsenkirchen",Düsseldorf,Germany,51.5515689,7.0777101,4.0,2812.0,222.0,143.0,372.0,812.0,1263.0,€€
Time Out Market Lisbon,Food court,"Av. 24 de Julho 49, 1200-479 Lisboa",Lisbon,Portugal,38.7070745,-9.145917299999999,4.4,44533.0,805.0,1151.0,4377.0,11921.0,26279.0,
CascaiShopping,Shopping mall,"Estrada Nacional 9, 2645-543 Alcabideche",Lisbon,Portugal,38.7377357,-9.3995736,4.4,22650.0,276.0,316.0,2233.0,8171.0,11654.0,
Cervejaria Ramiro,Seafood restaurant,"Av. Alm. Reis 1 H, 1150-007 Lisboa",Lisbon,Portugal,38.720257,-9.1357429,4.4,13124.0,612.0,320.0,788.0,2503.0,8901.0,€€€
La Siesta,Mexican restaurant,"Edifício La Siesta, Passeio Marítimo de Algés, 1495-039 Cruz Quebrada",Lisbon,Portugal,38.695877,-9.2303757,4.1,7942.0,246.0,344.0,1089.0,2822.0,3441.0,€€
SUD Lisboa,Restaurant,"Pavilhão Poente (ao lado do MAAT, Av. Brasília, 1300-598 Lisboa",Lisbon,Portugal,38.6963498,-9.1917224,4.5,7721.0,185.0,161.0,468.0,1781.0,5126.0,€€€
A Brasileira,Cafe,"R. Garrett 122, 1200-273 Lisboa",Lisbon,Portugal,38.7107046,-9.142051,4.1,4982.0,423.0,227.0,550.0,1223.0,2559.0,€€
Chapitô à Mesa,Restaurant,"Costa do Castelo 7, 1149-079 Lisboa",Lisbon,Portugal,38.7116043,-9.133973,4.2,3635.0,180.0,167.0,368.0,931.0,1989.0,€€
Maria Azeitona,Restaurant,"R. Alfredo Keil 16, 2700-036 Amadora",Lisbon,Portugal,38.7575788,-9.235148299999999,4.6,2732.0,28.0,29.0,127.0,706.0,1842.0,€€
Myriad,Hotel,"Lote 2.21.01, Parque das Nações, R. Cais das Naus Lote 2.21.01, 1990-173 Lisboa",Lisbon,Portugal,38.7747436,-9.091590799999999,4.8,2269.0,27.0,14.0,62.0,281.0,1885.0,
